y,x
214.114,241.844
147.502,438.264
223.508,534.864
114.196,400.912
125.725,492.36
349.046,439.552
72.35,473.04
100.105,445.992
97.97,395.76
78.328,399.624
475.011,688.78
409.253,405.42
245.712,459.516
291.401,332.004
245.285,386.1
304.211,448.568
53.989,690.068
53.989,689.424
112.488,485.92
197.034,377.084
171.414,324.276
251.263,391.252
473.73,688.78
194.472,485.92
130.422,296.584
161.593,302.38
241.015,339.088
304.211,413.148
356.305,455.652
342.641,479.48
329.831,350.68
207.282,265.028
252.544,451.144
122.309,517.476
106.937,341.664
167.998,352.612
147.502,530.356
133.411,276.62
111.634,612.144
253.825,284.992
191.483,439.552
76.193,507.172
475.865,688.78
434.446,621.16
475.011,688.78
457.504,636.616
54.843,687.492
250.409,261.164
94.554,451.144
124.017,597.976
147.075,626.956
160.312,610.212
156.469,559.98
77.047,521.34
166.717,474.328
103.521,612.788
188.067,402.2
378.082,511.68
369.115,313.328
192.764,408.64
338.798,473.04
439.57,577.368
352.462,521.984
267.489,342.308
351.181,351.968
449.818,634.684
81.317,495.58
368.688,311.396
397.724,304.312
271.759,371.932
348.192,433.112
347.765,288.212
403.702,392.54
426.333,563.844
336.236,194.188
270.905,512.324
69.306,599.076
157.268,416.824
158.122,446.448
177.764,429.06
203.384,612.6
173.921,433.568
176.483,118.008
343.867,86.452
142.323,286.736
163.246,282.228
182.888,267.416
132.502,244.876
213.205,445.16
230.712,118.008
141.524,324.276
82.598,332.648
202.158,466.6
138.108,436.332
144.086,549.032
306.773,539.372
245.285,529.712
159.031,333.292
190.629,336.512
128.714,456.296
166.717,386.744
169.279,596.044
325.134,528.424
161.593,427.96
51,303.024
85.959,76.792
159.403,268.06
207.227,108.992
161.538,320.868
154.706,322.156
287.93,591.992
207.227,57.472
103.466,329.24
168.37,617.752
181.18,212.676
281.58,142.668
234.183,332.648
133.838,331.36
85.587,393.184
87.295,618.584
102.24,652.716
207.282,344.884
184.651,525.848
275.602,134.94
